timestamp,FN2O_C4_broadcast_side_strip_with_inhibitor
2023-07-13 23:00:00,29.1997
2023-07-13 23:30:00,29.1806
2023-07-14 00:00:00,29.9463
2023-07-14 00:30:00,31.1074
2023-07-14 01:00:00,29.8818
2023-07-14 01:30:00,27.7349
2023-07-14 02:00:00,28.9619
2023-07-14 02:30:00,28.0526
2023-07-14 03:00:00,29.4084
2023-07-14 03:30:00,26.982
2023-07-14 04:00:00,26.8517
2023-07-14 04:30:00,26.3287
2023-07-14 05:00:00,24.5533
2023-07-14 05:30:00,25.3678
2023-07-14 06:00:00,25.4838
2023-07-14 06:30:00,26.4851
2023-07-14 07:00:00,27.4345
2023-07-14 07:30:00,27.083
2023-07-14 08:00:00,27.9789
2023-07-14 08:30:00,31.6532
2023-07-14 09:00:00,32.2537
2023-07-14 09:30:00,39.1535
2023-07-14 10:00:00,44.8068
2023-07-14 10:30:00,48.9231
2023-07-14 11:00:00,54.5499
2023-07-14 11:30:00,59.5204
2023-07-14 12:00:00,59.5061
2023-07-14 12:30:00,62.8837
2023-07-14 13:00:00,56.876
2023-07-14 13:30:00,48.7787
2023-07-14 14:00:00,43.2632
2023-07-14 14:30:00,42.3824
2023-07-14 15:00:00,41.9447
2023-07-14 15:30:00,42.4071
2023-07-14 16:00:00,42.6923
2023-07-14 16:30:00,45.277
2023-07-14 17:00:00,49.1972
2023-07-14 17:30:00,48.1478
2023-07-14 18:00:00,48.4194
2023-07-14 18:30:00,45.777
2023-07-14 19:00:00,45.1464
2023-07-14 19:30:00,45.9462
2023-07-14 20:00:00,41.9179
2023-07-14 20:30:00,41.2953
2023-07-14 21:00:00,39.2823
2023-07-14 21:30:00,38.3013
2023-07-14 22:00:00,38.0926
2023-07-14 22:30:00,35.8798
2023-07-14 23:00:00,37.2093
2023-07-14 23:30:00,35.85
2023-07-15 00:00:00,35.5361
2023-07-15 00:30:00,32.4388
2023-07-15 01:00:00,34.003
2023-07-15 01:30:00,32.4174
2023-07-15 02:00:00,31.8128
2023-07-15 02:30:00,33.1006
2023-07-15 03:00:00,30.6899
2023-07-15 03:30:00,30.3755
2023-07-15 04:00:00,30.2155
2023-07-15 04:30:00,30.7118
2023-07-15 05:00:00,28.0329
2023-07-15 05:30:00,28.2175
2023-07-15 06:00:00,27.6485
2023-07-15 06:30:00,28.3542
2023-07-15 07:00:00,29.0635
2023-07-15 07:30:00,29.793
2023-07-15 08:00:00,32.9676
2023-07-15 08:30:00,34.9843
2023-07-15 09:00:00,38.7193
2023-07-15 09:30:00,41.9607
2023-07-15 10:00:00,47.3988
2023-07-15 10:30:00,49.1065
2023-07-15 11:00:00,49.7499
2023-07-15 11:30:00,52.359
2023-07-15 12:00:00,55.6422
2023-07-15 12:30:00,56.629
2023-07-15 13:00:00,55.2288
2023-07-15 13:30:00,48.4492
2023-07-15 14:00:00,46.7512
2023-07-15 14:30:00,46.3618
2023-07-15 15:00:00,45.6477
2023-07-15 15:30:00,43.7153
2023-07-15 16:00:00,42.4852
2023-07-15 16:30:00,42.7035
2023-07-15 17:00:00,43.124
2023-07-15 17:30:00,44.0281
2023-07-15 18:00:00,42.7943
2023-07-15 18:30:00,43.1005
2023-07-15 19:00:00,41.3569
2023-07-15 19:30:00,40.3083
2023-07-15 20:00:00,40.161
2023-07-15 20:30:00,39.9296
2023-07-15 21:00:00,38.666
2023-07-15 21:30:00,38.2746
2023-07-15 22:00:00,38.1632
2023-07-15 22:30:00,36.8392
2023-07-15 23:00:00,37.5095
2023-07-15 23:30:00,35.2635
2023-07-16 00:00:00,36.4529
2023-07-16 00:30:00,37.6794
2023-07-16 01:00:00,34.9022
2023-07-16 01:30:00,34.6184
2023-07-16 02:00:00,36.9576
2023-07-16 02:30:00,35.6381
2023-07-16 03:00:00,31.989
2023-07-16 03:30:00,22.9035
2023-07-16 04:00:00,8.1948
2023-07-16 04:30:00,4.03873
2023-07-16 05:00:00,3.40954
2023-07-16 05:30:00,10.1879
2023-07-16 06:00:00,10.6396
2023-07-16 06:30:00,10.9163
2023-07-16 07:00:00,9.17728
2023-07-16 07:30:00,9.11906
2023-07-16 08:00:00,13.5536
2023-07-16 08:30:00,11.0231
2023-07-16 09:00:00,14.4971
2023-07-16 09:30:00,18.315
2023-07-16 10:00:00,20.389
2023-07-16 10:30:00,21.595
2023-07-16 11:00:00,22.2886
2023-07-16 11:30:00,26.5093
2023-07-16 12:00:00,27.355
2023-07-16 12:30:00,29.0172
2023-07-16 13:00:00,34.0572
2023-07-16 13:30:00,39.6205
2023-07-16 14:00:00,39.1782
2023-07-16 14:30:00,40.0583
2023-07-16 15:00:00,40.6285
2023-07-16 15:30:00,42.4775
2023-07-16 16:00:00,39.6314
2023-07-16 16:30:00,38.2738
2023-07-16 17:00:00,36.945
2023-07-16 17:30:00,34.0128
2023-07-16 18:00:00,34.9604
2023-07-16 18:30:00,32.5309
2023-07-16 19:00:00,29.8584
2023-07-16 19:30:00,29.0223
2023-07-16 20:00:00,28.2579
2023-07-16 20:30:00,28.6361
2023-07-16 21:00:00,30.0312
2023-07-16 21:30:00,28.6497
2023-07-16 22:00:00,29.1209
2023-07-16 22:30:00,31.3589
2023-07-16 23:00:00,27.7128
2023-07-16 23:30:00,26.5266
2023-07-17 00:00:00,27.2871
2023-07-17 00:30:00,26.8702
2023-07-17 01:00:00,27.1389
2023-07-17 01:30:00,27.9896
2023-07-17 02:00:00,26.6291
2023-07-17 02:30:00,27.539
2023-07-17 03:00:00,27.7841
2023-07-17 03:30:00,29.8063
2023-07-17 04:00:00,26.5106
2023-07-17 04:30:00,28.275
2023-07-17 05:00:00,29.716
2023-07-17 05:30:00,27.8677
2023-07-17 06:00:00,28.521
2023-07-17 06:30:00,27.172
2023-07-17 07:00:00,27.7055
2023-07-17 07:30:00,26.8866
2023-07-17 08:00:00,26.7043
2023-07-17 08:30:00,26.3314
2023-07-17 09:00:00,26.2611
2023-07-17 09:30:00,27.4659
2023-07-17 10:00:00,28.6795
2023-07-17 10:30:00,30.5348
2023-07-17 11:00:00,34.1929
2023-07-17 11:30:00,39.1706
2023-07-17 12:00:00,34.5407
2023-07-17 12:30:00,36.1664
2023-07-17 13:00:00,35.0325
2023-07-17 13:30:00,35.5836
2023-07-17 14:00:00,36.9364
2023-07-17 14:30:00,37.4148
2023-07-17 15:00:00,36.3602
2023-07-17 15:30:00,36.5386
2023-07-17 16:00:00,29.8472
2023-07-17 16:30:00,30.8544
2023-07-17 17:00:00,27.9031
2023-07-17 17:30:00,27.38
2023-07-17 18:00:00,25.3448
2023-07-17 18:30:00,23.1903
2023-07-17 19:00:00,23.4769
2023-07-17 19:30:00,24.6208
2023-07-17 20:00:00,25.2079
2023-07-17 20:30:00,25.4617
2023-07-17 21:00:00,26.5881
2023-07-17 21:30:00,25.3998
2023-07-17 22:00:00,25.1853
2023-07-17 22:30:00,25.4534
2023-07-17 23:00:00,25.6484
2023-07-17 23:30:00,25.9893
2023-07-18 00:00:00,24.9495
2023-07-18 00:30:00,25.0051
2023-07-18 01:00:00,25.4365
2023-07-18 01:30:00,22.9702
2023-07-18 02:00:00,24.5281
2023-07-18 02:30:00,23.6447
2023-07-18 03:00:00,24.2011
2023-07-18 03:30:00,23.7116
2023-07-18 04:00:00,23.5109
2023-07-18 04:30:00,23.4107
2023-07-18 05:00:00,22.7428
2023-07-18 05:30:00,21.1956
2023-07-18 06:00:00,22.8328
2023-07-18 06:30:00,23.2032
2023-07-18 07:00:00,22.1735
2023-07-18 07:30:00,22.796
2023-07-18 08:00:00,23.3131
2023-07-18 08:30:00,25.7585
2023-07-18 09:00:00,26.5137
2023-07-18 09:30:00,31.5655
2023-07-18 10:00:00,35.3395
2023-07-18 10:30:00,38.6236
2023-07-18 11:00:00,37.2203
2023-07-18 11:30:00,40.4457
2023-07-18 12:00:00,40.03
2023-07-18 12:30:00,36.6633
2023-07-18 13:00:00,30.7146
2023-07-18 13:30:00,29.8284
2023-07-18 14:00:00,27.0162
2023-07-18 14:30:00,26.0444
2023-07-18 15:00:00,28.7952
2023-07-18 15:30:00,26.9095
2023-07-18 16:00:00,26.1626
2023-07-18 16:30:00,26.7024
2023-07-18 17:00:00,25.2682
2023-07-18 17:30:00,22.4338
2023-07-18 18:00:00,21.9509
2023-07-18 18:30:00,21.3548
2023-07-18 19:00:00,20.1996
2023-07-18 19:30:00,12.0535
2023-07-18 20:00:00,17.1203
2023-07-18 20:30:00,18.635
2023-07-18 21:00:00,19.4572
2023-07-18 21:30:00,19.5937
2023-07-18 22:00:00,19.5543
2023-07-18 22:30:00,19.0785
2023-07-18 23:00:00,19.9391
2023-07-18 23:30:00,20.0042
2023-07-19 00:00:00,19.7891
2023-07-19 00:30:00,18.9092
2023-07-19 01:00:00,18.4002
2023-07-19 01:30:00,18.7444
2023-07-19 02:00:00,18.2624
2023-07-19 02:30:00,17.7007
2023-07-19 03:00:00,17.2855
2023-07-19 03:30:00,16.9098
2023-07-19 04:00:00,17.3163
2023-07-19 04:30:00,16.5158
2023-07-19 05:00:00,16.3806
2023-07-19 05:30:00,15.7304
2023-07-19 06:00:00,15.9555
2023-07-19 06:30:00,15.6305
2023-07-19 07:00:00,15.7797
2023-07-19 07:30:00,16.666
2023-07-19 08:00:00,17.8569
2023-07-19 08:30:00,19.8999
2023-07-19 09:00:00,22.5382
2023-07-19 09:30:00,26.044
2023-07-19 10:00:00,30.1502
2023-07-19 10:30:00,33.6767
2023-07-19 11:00:00,35.4812
2023-07-19 11:30:00,34.2652
2023-07-19 12:00:00,32.8748
2023-07-19 12:30:00,33.5668
2023-07-19 13:00:00,28.8809
2023-07-19 13:30:00,28.5076
2023-07-19 14:00:00,25.6021
2023-07-19 14:30:00,22.5128
2023-07-19 15:00:00,21.8183
2023-07-19 15:30:00,21.1042
2023-07-19 16:00:00,18.3468
2023-07-19 16:30:00,17.9292
2023-07-19 17:00:00,18.1323
2023-07-19 17:30:00,17.1015
2023-07-19 18:00:00,16.3993
2023-07-19 18:30:00,16.2757
2023-07-19 19:00:00,16.3911
2023-07-19 19:30:00,16.4282
2023-07-19 20:00:00,16.1615
2023-07-19 20:30:00,16.1891
2023-07-19 21:00:00,15.9907
2023-07-19 21:30:00,15.5256
2023-07-19 22:00:00,13.6692
2023-07-19 22:30:00,14.6113
2023-07-19 23:00:00,14.2758
2023-07-19 23:30:00,14.3116
2023-07-20 00:00:00,14.209
2023-07-20 00:30:00,14.4332
2023-07-20 01:00:00,13.6577
2023-07-20 01:30:00,13.0897
2023-07-20 02:00:00,12.5212
2023-07-20 02:30:00,12.7745
2023-07-20 03:00:00,12.2319
2023-07-20 03:30:00,11.8631
2023-07-20 04:00:00,12.4274
2023-07-20 04:30:00,12.296
2023-07-20 05:00:00,12.1364
2023-07-20 05:30:00,11.5715
2023-07-20 06:00:00,11.0963
2023-07-20 06:30:00,11.8755
2023-07-20 07:00:00,11.0096
2023-07-20 07:30:00,11.1133
2023-07-20 08:00:00,11.7472
2023-07-20 08:30:00,13.0023
2023-07-20 09:00:00,13.9194
2023-07-20 09:30:00,15.1693
2023-07-20 10:00:00,15.6309
2023-07-20 10:30:00,16.475
2023-07-20 11:00:00,
2023-07-20 11:30:00,15.3847
2023-07-20 12:00:00,16.3077
2023-07-20 12:30:00,14.9882
2023-07-20 13:00:00,15.9142
